1.	Relasi
A.	Orang Tua
-	Hadi orang tua dari Desi
-	Hadi orang tua dari Wahyu
-	Hadi orang tua dari Aprilia
-	Hadi orang tua dari Ardi
-	Retno orang tua dari Desi
-	Retno orang tua dari Wahyu
-	Retno orang tua dari Aprilia
-	Retno orang tua dari Ardi
-	Elma orang tua dari Tari 
-	Elma orang tua dari Nurul 
-	Elma orang tua dari Yanto 
-	Desi orang tua dari Tari
-	Desi orang tua dari Nurul 
-	Desi orang tua dari Yanto
-	Aprilia orang tua dari Hamzah
-	Ardi orang tua dari Eka
-	Ardi orang tua dari Mira
-	Ardi orang tua dari Bastian
-	Ana orang tua dari Eka
-	Ana orang tua dari Mira
-	Ana orang tua dari Bastian
-	Fahrul orang tua dari wanda 
-	Tari orang tua dari wanda
-	Nurul orang tua dari Aji
-	Nurul orang tua dari Gunawan
-	Mira orang tua dari Anggun
-	Mira orang tua dari Boy
B.	Saudara Laki2
-	Wahyu saudara laki-laki dari Desi
-	Wahyu saudara laki-laki dari Aprilia
-	Wahyu saudara laki-laki dari Ardi
-	Ardi saudara laki-laki dari Desi
-	Ardi saudara laki-laki dari Aprilia
-	Ardi saudara laki-laki dari Wahyu
-	Yanto saudara laki-laki dari Tari
-	Yanto saudara laki-laki dari Nurul
-	Bastian saudara laki-laki dari Eka
-	Bastian saudara laki-laki dari Mira
-	Aji saudara laki-laki dari Gunawan
-	Gunawan saudara laki-laki dari Aji
-	Boy saudara laki-laki dari Anggun

C.	Saudara Perempuan
-	Desi saudara perempuan dari Wahyu
-	Desi saudara perempuan dari Aprilia
-	Desi saudara perempuan dari Ardi
-	Aprilia saudara perempuan dari Desi
-	Aprilia saudara perempuan dari Wahyu
-	Aprilia saudara perempuan dari Ardi
-	Tari saudara perempuan dari Nurul
-	Tari saudara perempuan dari Yanto
-	Nurul saudara perempuan dari Tari
-	Nurul saudara perempuan dari Yanto
-	Eka saudara perempuan dari Mira
-	Eka saudara perempuan dari Bastian
-	Mira saudara perempuan dari Eka
-	Mira saudara perempuan dari Bastian
-	Anggun saudara perempuan dari Boy

D.	Paman
-	Elma paman dari Hamzah
-	Elma paman dari Eka
-	Elma paman dari Mira
-	Elma paman dari Bastian
-	Wahyu paman dari Tari
-	Wahyu paman dari Nurul
-	Wahyu paman dari Yanto
-	Wahyu paman dari Hamzah
-	Wahyu paman dari Eka
-	Wahyu paman dari Mira
-	Wahyu paman dari Bastian
-	Ardi paman dari Tari
-	Ardi paman dari Nurul
-	Ardi paman dari Yanto
-	Ardi paman dari Hamzah
-	Yanto paman dari Wanda
-	Yanto paman dari Aji
-	Yanto paman dari Gunawan
